betriebe_id,jahr,kompartiment,jahresfracht,jahresfracht_versehentlich,jahresfracht_nichtbiogen,stoff_name,stoff_gruppe,stoff_casnummer,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
161203,2013,Luft,40000.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),Quickhof GmbH & Co.KG Standort Wendisch Priborn,13-40-4000,12.317422712193,53.3317752476308,"Altenhofer Weg 1
19395 Wendisch Priborn",Mecklenburg-Vorpommern,Warnow/Peene,Quickhof GmbH & Co KG GF J. Straathof,J. Straathof,Quickhof GmbH & Co. KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,,Intensivtierhaltung und Aquakultur
154083,2009,Luft,13900.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),"Agrarprodukte Löbnitz GmbH, SZA Löbnitz",14-82-55797380000,12.4616521736348,51.5856889948062,"Delitzscher Str. 32
04509 Löbnitz",Sachsen,Elbe/Labe,Agrarprodukte Löbnitz GmbH,Agrarprodukte Löbnitz GmbH,Agrarprodukte Löbnitz GmbH,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 750 Sauen,Intensivhaltung oder -aufzucht von Sauen,Intensivtierhaltung und Aquakultur
174296,2012,Luft,13700.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),Franz Obermeier,06-09-277-8005-0001,13.025369162401,48.4767023999599,"Wurmsöd 1
84378 Dietersburg",Bayern,Donau,Franz Obermeier,Franz Obermeier,Franz Obermeier,147,Haltung von Geflügel,Intensivhaltung oder -aufzucht von > 40.000 Geflügel,Intensivhaltung oder -aufzucht von Geflügel,Intensivtierhaltung und Aquakultur
84845,2011,Luft,38800.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),Farm-Ei GmbH & Co. KG,06-01096710438,8.84082405116695,50.0429026879133,"Außenliegend 4
63151 Heusenstamm",Hessen,Rhein,Farm-Ei GmbH & Co KG,Farm-Ei GmbH & Co KG,Farm-Ei GmbH & Co KG,147,Haltung von Geflügel,Intensivhaltung oder -aufzucht von > 40.000 Geflügel,Intensivhaltung oder -aufzucht von Geflügel,Intensivtierhaltung und Aquakultur
161207,2013,Luft,108000.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,13-40-1358024,11.4651480454581,53.800095411455,"Häuslerreihe 28
23996 Bad Kleinen",Mecklenburg-Vorpommern,Elbe/Labe,Tierzucht Gut Losten GmbH & Co. KG,Herrn Alwin Neteler,Tierzucht Gut Losten GmbH & Co. KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,,Intensivtierhaltung und Aquakultur
84291,2011,Luft,14600.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),Schweinezucht Morgenrot GmbH,16457,11.2071928371236,51.7890797651461,"An der B6 -
06484 Quedlinburg",Sachsen-Anhalt,Elbe/Labe,Schweinezucht Morgenrot GmbH u. Vorharz-Ferkel GmbH & Co KG,,Schweinezucht Morgenrot GmbH,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
183829,2014,Luft,63000.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),"Birkenhäger, Martin",06-05-766-9972680,8.84595292974752,52.095047991235,"Pillenbrucher Straße 63
32108 Bad Salzuflen",Nordrhein-Westfalen,Weser,"Birkenhäger,Martin","Birkenhäger, Martin","Birkenhäger, Martin",146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,,Intensivtierhaltung und Aquakultur
161222,2013,Luft,16700.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),Schweinemastanlage Kobrow II,13-40-4229,11.8251199504849,53.6928241318413,"Dorfstraße 10
19406 Kobrow",Mecklenburg-Vorpommern,Warnow/Peene,Pastiner Landwirtschaftsgesellschaft mbH & Co.KG Dorfstraße 11 - 19406 Kobrow,Pastiner Landwirtschaftsgesellschaft mbH & Co.KGGut Kobrow GmbH & Co.KG,Pastiner Landwirtschaftsgesellschaft mbH & Co.KGGut Kobrow GmbH & Co.KG,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,,Intensivtierhaltung und Aquakultur
103899,2007,Luft,12000.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),Landwirtschafts GbR Wulkow,12-10684400000,12.9142884719438,52.9193904210603,"Birkenhof -
16835 Neuruppin",Brandenburg,Elbe/Labe,Landwirtschafts-GbR,Landwirtschafts-GbR Wulkow,Landwirtschafts-GbR Wulkow,146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
174770,2012,Luft,14400.0,0.0,,Ammoniak (NH3),Andere Gase,7664-41-7,10000.0,Berechnung,OTH (C),"Große Hartlage, Frank",03-91-45903470690,7.90256083800282,52.0861293399151,"Hauptstraße 47
49219 Glandorf",Niedersachsen,Ems,"Große Hartlage, Frank","Große Hartlage, Frank","Große Hartlage, Frank",146,Haltung von Schweinen,Intensivhaltung oder -aufzucht von > 2.000 Mastschweinen,Intensivhaltung oder -aufzucht von Mastschweinen,Intensivtierhaltung und Aquakultur
