betriebe_id,jahr,menge,gefaehrlich,ins_ausland,disposition,bestimmungsmethode,bestimmungsverfahren,entsorger,entsorgungsort,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
175014,2012,3.96,TRUE,FALSE,Zur Verwertung,Messung,Wiegen (M),,,Statkraft Markets GmbH Kraftwerk Robert Frank,03-06-06254353820,9.11450683622419,52.5457674006115,"Hävern 1
31628 Landesbergen",Niedersachsen,Weser,Statkraft Markets GmbH,Statkraft Markets GmbH,Statkraft Markets GmbH,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
164873,2008,1020.0,TRUE,FALSE,Zur Verwertung,Messung,Wiegen (M),,,CURRENTA GmbH & Co. OHG,06-05-100-9021016,6.66238453153661,51.3681904153109,"Rheinuferstraße 7-9
47829 Krefeld",Nordrhein-Westfalen,Rhein,CURRENTA GmbH & Co. OHG,,,3530,Wärme- und Kälteversorgung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
176911,2013,25600.0,TRUE,FALSE,Zur Verwertung,Messung,Wiegen (M),,,MVV Umwelt Asset GmbH Müllheizkraftwerk,06-08-9169156,8.45245552613289,49.5213819157734,"Otto-Hahn-Str. 1
68169 Mannheim",Baden-Württemberg,Rhein,MVV Umwelt Asset GmbH,MVV Umwelt Asset GmbH,MVV Umwelt Asset GmbH,3821,Behandlung und Beseitigung nicht gefährlicher Abfälle,Verbrennungsanlagen > 50 MW,,Energiesektor
176915,2013,33.0,TRUE,FALSE,Zur Verwertung,Schätzung,Sonstiges (E),,,Kraftwerk Walheim,06-08-2142201,9.15769325255314,49.0176695304021,"Mühlstraße -
74399 Walheim",Baden-Württemberg,Rhein,EnBW Energie Baden-Wuerttemberg AG,EnBW Energie Baden-Wuerttemberg AG,EnBW Energie Baden-Wuerttemberg AG,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,,Energiesektor
176919,2013,3.0,TRUE,FALSE,Zur Verwertung,Schätzung,Sonstiges (E),,,Kraftwerk Marbach,06-08-2158809,9.23039381699082,48.9275725911579,"Thomas-Alva-Edison-Ring 6
71672 Marbach",Baden-Württemberg,Rhein,EnBW Energie Baden-Wuerttemberg AG,EnBW Energie Baden-Wuerttemberg AG,EnBW Energie Baden-Wuerttemberg AG,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,,Energiesektor
178615,2013,438.0,TRUE,FALSE,Zur Verwertung,Messung,Wiegen (M),,,WRG - Wilhelmshavener Raffinerie- gesellschaft mbH,03-09-09281445470,8.10749829684472,53.617759858201,"Raffineriestr. 1
26388 Wilhelmshaven",Niedersachsen,Weser,Wilhelmshavener Raffineriegesellschaft mbH WRG,Hestya Energy B.V.,WRG,1920,Mineralölverarbeitung,Mineralöl- und Gasraffinerien,,Energiesektor
164904,2008,8.32,TRUE,FALSE,Zur Verwertung,Messung,Wiegen (M),,,RheinEnergie AG,06-05-300-0370387,6.9907748243318,50.9741136426043,"Am Molenkopf 3
50735 Köln",Nordrhein-Westfalen,Rhein,GEW Köln AG,RheinEnergie AG,RheinEnergie AG,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
164910,2008,3.8,TRUE,FALSE,Zur Verwertung,Messung,Wiegen (M),,,RWE Power AG,06-05-900-0888950,7.47848742181048,51.5201457650729,"Weißenburger Str. 70
44143 Dortmund",Nordrhein-Westfalen,Rhein,RWE Power AG,,,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
163798,2008,65.0,TRUE,FALSE,Zur Verwertung,Messung,Wiegen (M),,,VW Kraftwerk GmbH Heizkraftwerk Nord/Süd,03-01-01010062790,10.7869573823288,52.4317025461889,"Berliner Ring 2
38440 Wolfsburg",Niedersachsen,Weser,VW Kraftwerk GmbH,,,3511,Elektrizitätserzeugung,Verbrennungsanlagen > 50 MW,Verbrennungsanlagen > 50 MW,Energiesektor
185100,2014,25.2,TRUE,FALSE,Zur Verwertung,Messung,Wiegen (M),,,DREWAG AMD EVC 2 EnergyCenter Wilschdorf,14-70-52316700250,13.7127734895108,51.126363888579,"Ringstr. 3
01468 Moritzburg",Sachsen,Elbe/Labe,Zweite Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG,Zweite Energieversorgungscenter Dresden-Wilschdorf GmbH  & Co. KG,Zweite Energieversorgungscenter Dresden-Wilschdorf GmbH  & Co. KG,3530,Wärme- und Kälteversorgung,Verbrennungsanlagen > 50 MW,,Energiesektor
